t[s],theta[rad],v[rad/s],a[rad/s^2],v0
0.0,0.0524,0.0,-0.5134,0.0
0.001,0.052359,-0.0005,-0.513411,0.0
0.002,0.052358,-0.001,-0.513401,0.0
0.003,0.052357,-0.0015,-0.513386,0.0
0.004,0.052355,-0.0021,-0.513365,0.0
0.005,0.052352,-0.0026,-0.51334,0.0
0.006,0.052349,-0.0031,-0.51331,0.0
0.007,0.052346,-0.0036,-0.513275,0.0
0.008,0.052341,-0.0041,-0.513235,0.0
0.009,0.052337,-0.0046,-0.513189,0.0
0.01,0.052332,-0.0051,-0.513139,0.0
0.011,0.052326,-0.0056,-0.513084,0.0
0.012,0.05232,-0.0062,-0.513023,0.0
0.013,0.052313,-0.0067,-0.512958,0.0
0.014,0.052306,-0.0072,-0.512888,0.0
0.015,0.052298,-0.0077,-0.512812,0.0
0.016,0.05229,-0.0082,-0.512732,0.0
0.017,0.052281,-0.0087,-0.512646,0.0
0.018,0.052272,-0.0092,-0.512556,0.0
0.019,0.052262,-0.0097,-0.51246,0.0
0.02,0.052252,-0.0103,-0.51236,0.0
0.021,0.052241,-0.0108,-0.512254,0.0
0.022,0.05223,-0.0113,-0.512144,0.0
0.023,0.052218,-0.0118,-0.512028,0.0
0.024,0.052206,-0.0123,-0.511908,0.0
0.025,0.052193,-0.0128,-0.511782,0.0
0.026,0.05218,-0.0133,-0.511651,0.0
0.027,0.052166,-0.0138,-0.511516,0.0
0.028,0.052152,-0.0144,-0.511375,0.0
0.029,0.052137,-0.0149,-0.511229,0.0
0.03,0.052121,-0.0154,-0.511079,0.0
0.031,0.052105,-0.0159,-0.510923,0.0
0.032,0.052089,-0.0164,-0.510762,0.0
0.033,0.052072,-0.0169,-0.510597,0.0
0.034,0.052055,-0.0174,-0.510426,0.0
0.035,0.052037,-0.0179,-0.51025,0.0
0.036,0.052018,-0.0184,-0.51007,0.0
0.037,0.051999,-0.019,-0.509884,0.0
0.038,0.05198,-0.0195,-0.509693,0.0
0.039,0.05196,-0.02,-0.509498,0.0
0.04,0.051939,-0.0205,-0.509297,0.0
0.041,0.051918,-0.021,-0.509091,0.0
0.042,0.051897,-0.0215,-0.508881,0.0
0.043,0.051875,-0.022,-0.508665,0.0
0.044,0.051852,-0.0225,-0.508444,0.0
0.045,0.051829,-0.023,-0.508219,0.0
0.046,0.051806,-0.0235,-0.507988,0.0
0.047,0.051782,-0.024,-0.507753,0.0
0.048,0.051757,-0.0246,-0.507512,0.0
0.049,0.051732,-0.0251,-0.507267,0.0
0.05,0.051707,-0.0256,-0.507016,0.0
0.051,0.051681,-0.0261,-0.506761,0.0
0.052,0.051654,-0.0266,-0.5065,0.0
